Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
small_simple,SEIRS,0.1,0.1,1,0.7,0.156784102,0.003544173,0.153634572,0.008339954,0.453937759,0.767926755,0.454713559,0.27543697,
small_simple,SEIRS,0.1,0.1,1,0.8,0.247888935,0.003567991,0.244793413,0.008646115,0.292021168,0.766313235,0.288330212,0.054858912,
small_simple,SEIRS,0.1,0.1,1,0.9,0.262157137,0.003586481,0.26250706,0.005534042,0.239967729,0.765089129,0.235149652,0.054301742,
small_simple,SEIRS,0.1,0.1,1,1,0.269004521,0.003601518,0.271773446,0.003682584,-0.036778502,0.764115192,-0.045870313,nan,
small_simple,SEIRS,0.1,0.2,0.1,0.1,0.011011579,0.004963305,0.004406153,0.004326883,0.977754074,0.955060016,0.963885729,0.968768184,
small_simple,SEIRS,0.1,0.2,0.1,0.2,0.007345993,0.001898142,0.003559584,0.003279505,0.979505817,0.990066779,0.953502447,0.923216256,
small_simple,SEIRS,0.1,0.2,0.1,0.3,0.005047195,0.004609992,0.003358512,0.00253367,0.984786952,0.976699007,0.945135264,0.902291343,
small_simple,SEIRS,0.1,0.2,0.1,0.4,0.013112178,0.007557666,0.006108749,0.002449316,0.962120472,0.969038708,0.930787224,0.841744115,
small_simple,SEIRS,0.1,0.2,0.1,0.5,0.009665226,0.006492777,0.005161085,0.002094096,0.964055587,0.938344283,0.952412934,0.831287496,
small_simple,SEIRS,0.1,0.2,0.1,0.6,0.006087368,0.004060788,0.004750577,0.002385885,0.987897604,0.974692194,0.962571807,0.644383971,
small_simple,SEIRS,0.1,0.2,0.1,0.7,0.018225477,0.010444887,0.008523931,0.002039578,0.865787796,0.878022418,0.823456287,0.643993689,
small_simple,SEIRS,0.1,0.2,0.1,0.8,0.01273051,0.008074364,0.006388732,0.00203679,0.94880673,0.957106859,0.91076962,0.498162321,
small_simple,SEIRS,0.1,0.2,0.1,0.9,0.015755511,0.010421801,0.008308799,0.00197684,0.946983043,0.940353986,0.908458891,0.352427022,
small_simple,SEIRS,0.1,0.2,0.1,1,0.010414275,0.006691805,0.005910458,0.001906934,0.926853965,0.953490582,0.83637013,nan,
small_simple,SEIRS,0.1,0.2,0.2,0.1,0.005226988,0.001905958,0.00271718,0.005377648,0.994834956,0.977000862,0.985501206,0.982101123,
small_simple,SEIRS,0.1,0.2,0.2,0.2,0.004387181,0.00197663,0.003148146,0.002287534,0.992833621,0.976703511,0.988634841,0.970874597,
small_simple,SEIRS,0.1,0.2,0.2,0.3,0.004419128,0.002013157,0.002037813,0.003327959,0.987122,0.974689345,0.984827819,0.865181049,
small_simple,SEIRS,0.1,0.2,0.2,0.4,0.005083222,0.002277865,0.003568469,0.002153189,0.985462302,0.974675034,0.980341529,0.909026854,
small_simple,SEIRS,0.1,0.2,0.2,0.5,0.008108442,0.003149148,0.005737667,0.001705041,0.95865673,0.959381454,0.921378165,0.91432415,
small_simple,SEIRS,0.1,0.2,0.2,0.6,0.006867243,0.00454905,0.004850981,0.002399016,0.967076307,0.956746018,0.930107641,0.810478859,
small_simple,SEIRS,0.1,0.2,0.2,0.7,0.003008437,0.002343386,0.003001864,0.001813732,0.995189168,0.979934468,0.986024793,0.868033272,
small_simple,SEIRS,0.1,0.2,0.2,0.8,0.009554267,0.003885187,0.007595227,0.002239235,0.947371347,0.92704338,0.938939397,0.606810208,
small_simple,SEIRS,0.1,0.2,0.2,0.9,0.003969484,0.002193248,0.003270536,0.002259459,0.98488875,0.976669442,0.963983071,0.464571495,
small_simple,SEIRS,0.1,0.2,0.2,1,0.013101755,0.005227966,0.009640114,0.002198941,0.91579291,0.927444778,0.88336587,nan,
small_simple,SEIRS,0.1,0.2,0.3,0.1,0.00943871,0.001448454,0.003951037,0.006117986,0.982786244,0.980591004,0.973029099,0.975458167,
small_simple,SEIRS,0.1,0.2,0.3,0.2,0.004982704,0.001586974,0.003656637,0.003199552,0.99335995,0.978944007,0.981067793,0.962025632,
small_simple,SEIRS,0.1,0.2,0.3,0.3,0.004080406,0.00248465,0.003876464,0.001951577,0.988684974,0.93563197,0.976226679,0.962492056,
small_simple,SEIRS,0.1,0.2,0.3,0.4,0.006797786,0.002774242,0.004581919,0.002969526,0.962609739,0.941933061,0.945720186,0.840815984,
small_simple,SEIRS,0.1,0.2,0.3,0.5,0.011920851,0.003521516,0.008431269,0.00272619,0.914036365,0.916490504,0.888601927,0.793367078,
