Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,,
small_simple,SIRS,0.2,0.1,0,0.6,0.277468159,7.695116778,0.222294692,0.057337843,-0.146390832,nan,-0.155709348,-0.015175275,,,,
small_simple,SIRS,0.2,0.1,0,0.7,0.245823772,7.695116778,0.196449198,0.052289749,-0.029078625,nan,-0.027897202,0.008522852,,,,
small_simple,SIRS,0.2,0.1,0,0.8,0.242957851,7.695116778,0.196412542,0.049289139,-0.088472483,nan,-0.092899634,0.01475574,,,,
small_simple,SIRS,0.2,0.1,0,0.9,0.275408685,7.695116778,0.230303142,0.047522145,-0.073276703,nan,-0.074452952,-0.001345571,,,,
small_simple,SIRS,0.2,0.1,0,1,0.231199797,7.695116778,0.188504664,0.045314578,-0.139125275,nan,-0.144859341,nan,,,,
small_simple,SIRS,0.2,0.2,0,0.1,0.021595464,7.695116778,0.008797203,0.014193079,0.944536375,nan,0.934218727,0.93163519,,,,
small_simple,SIRS,0.2,0.2,0,0.2,0.016945213,7.695116778,0.009121881,0.009082696,0.956422439,nan,0.94949724,0.931540338,,,,
small_simple,SIRS,0.2,0.2,0,0.3,0.023243685,7.695116778,0.014033183,0.009414559,0.857291436,nan,0.868188006,0.839315134,,,,
small_simple,SIRS,0.2,0.2,0,0.4,0.022108354,7.695116778,0.014369461,0.008061543,0.816712423,nan,0.841977055,0.767491419,,,,
small_simple,SIRS,0.2,0.2,0,0.5,0.021760719,7.695116778,0.014953944,0.007049794,0.837408618,nan,0.85064792,0.795873931,,,,
small_simple,SIRS,0.2,0.2,0,0.6,0.020833714,7.695116778,0.015172132,0.006310423,0.834032532,nan,0.843952863,0.743627201,,,,
small_simple,SIRS,0.2,0.2,0,0.7,0.021449338,7.695116778,0.015593624,0.006321869,0.845008132,nan,0.860334707,0.698663193,,,,
small_simple,SIRS,0.2,0.2,0,0.8,0.015438555,7.695116778,0.011073952,0.005673125,0.935213969,nan,0.940488484,0.5901388,,,,
small_simple,SIRS,0.2,0.2,0,0.9,0.019275587,7.695116778,0.01500095,0.005355972,0.855346443,nan,0.864369302,0.550582782,,,,
small_simple,SIRS,0.2,0.2,0,1,0.020308177,7.695116778,0.015786789,0.005174436,0.851860759,nan,0.864592762,nan,,,,
small_simple,SIRS,0.2,0.3,0,0.1,0.011356174,7.695116778,0.003740393,0.009379311,0.958624167,nan,0.975150197,0.932061055,,,,
small_simple,SIRS,0.2,0.3,0,0.2,0.006170531,7.695116778,0.002788192,0.004110252,0.980542263,nan,0.980624744,0.983680947,,,,
small_simple,SIRS,0.2,0.3,0,0.3,0.00921597,7.695116778,0.004088067,0.005593914,0.943543824,nan,0.972183152,0.894862549,,,,
small_simple,SIRS,0.2,0.3,0,0.4,0.008660936,7.695116778,0.005159452,0.004006134,0.936097106,nan,0.949154407,0.886606532,,,,
small_simple,SIRS,0.2,0.3,0,0.5,0.00378843,7.695116778,0.001667609,0.003368805,0.991865405,nan,0.993291974,0.936509672,,,,
small_simple,SIRS,0.2,0.3,0,0.6,0.006904985,7.695116778,0.003080583,0.004135852,0.957491911,nan,0.98127401,0.827525029,,,,
small_simple,SIRS,0.2,0.3,0,0.7,0.007417698,7.695116778,0.004152292,0.003490204,0.935336338,nan,0.961711737,0.813272551,,,,
small_simple,SIRS,0.2,0.3,0,0.8,0.008955811,7.695116778,0.00504397,0.004001003,0.919773242,nan,0.954326795,0.7529792,,,,
