Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
large_complex,SIRS,0.2,0.1,0,0.1,0.377410063,0.855012975,0.449192443,0.074184368,0.413227318,nan,-0.552313277,0.534575016,
large_complex,SIRS,0.2,0.1,0,0.2,0.3510898,0.855012975,0.381986427,0.034116635,0.635687995,nan,0.600822775,0.519971564,
large_complex,SIRS,0.2,0.1,0,0.3,0.331498322,0.855012975,0.350245932,0.022156909,0.716199766,nan,0.713449577,0.565803583,
large_complex,SIRS,0.2,0.1,0,0.4,0.314387121,0.855012975,0.330461548,0.019021685,0.745864815,nan,0.746798446,0.541238335,
large_complex,SIRS,0.2,0.1,0,0.5,0.299860297,0.855012975,0.317550356,0.02001338,0.751905522,nan,0.754876316,0.50906377,
large_complex,SIRS,0.2,0.1,0,0.6,0.288510626,0.855012975,0.309375406,0.022688084,0.758527114,nan,0.761467713,0.48553777,
large_complex,SIRS,0.2,0.1,0,0.7,0.277255206,0.855012975,0.30190709,0.026110739,0.759870953,nan,0.763389801,0.418949604,
large_complex,SIRS,0.2,0.1,0,0.8,0.269258069,0.855012975,0.298003834,0.029928531,0.772985305,nan,0.776049083,0.373609877,
large_complex,SIRS,0.2,0.1,0,0.9,0.261147031,0.855012975,0.293841091,0.033906354,0.739630336,nan,0.742936688,0.268311688,
large_complex,SIRS,0.2,0.1,0,1,0.254110626,0.855012975,0.290896136,0.037779534,0.7647771,nan,0.768381649,nan,
large_complex,SIRS,0.2,0.2,0,0.1,0.721877612,0.855012975,0.469767358,0.25302579,-0.860005974,nan,-0.684186371,-0.835693108,
large_complex,SIRS,0.2,0.2,0,0.2,0.665540927,0.855012975,0.471842424,0.194294427,-0.856314648,nan,-0.772997875,-0.836399084,
large_complex,SIRS,0.2,0.2,0,0.3,0.622427642,0.855012975,0.473150218,0.149764509,-0.853555291,nan,-0.803497652,-0.827687244,
large_complex,SIRS,0.2,0.2,0,0.4,0.593310322,0.855012975,0.478251375,0.115473781,-0.857026914,nan,-0.823080347,-0.816755332,
large_complex,SIRS,0.2,0.2,0,0.5,0.562743912,0.855012975,0.476666488,0.086505039,-0.842491687,nan,-0.819394273,-0.791007321,
large_complex,SIRS,0.2,0.2,0,0.6,0.542606749,0.855012975,0.479739806,0.063296256,-0.853031261,nan,-0.835432174,-0.773794109,
large_complex,SIRS,0.2,0.2,0,0.7,0.523042283,0.855012975,0.47990521,0.043602974,-0.853259799,nan,-0.839181402,-0.741695173,
large_complex,SIRS,0.2,0.2,0,0.8,0.510235828,0.855012975,0.483683304,0.02708797,-0.850936685,nan,-0.840330094,-0.675429259,
large_complex,SIRS,0.2,0.2,0,0.9,0.495678693,0.855012975,0.483873718,0.012568728,-0.854156536,nan,-0.845846126,-0.560833122,
large_complex,SIRS,0.2,0.2,0,1,0.481362805,0.855012975,0.482266918,0.003342823,-0.852354589,nan,-0.845485061,nan,
large_complex,SIRS,0.2,0.3,0,0.1,0.597942878,0.855012975,0.270599566,0.328212189,-0.307508121,nan,-0.166612417,-0.328414761,
large_complex,SIRS,0.2,0.3,0,0.2,0.508261336,0.855012975,0.273666552,0.235134211,-0.240997427,nan,-0.168894559,-0.259152773,
large_complex,SIRS,0.2,0.3,0,0.3,0.456773227,0.855012975,0.281316851,0.175895055,-0.24279554,nan,-0.189194967,-0.261832708,
large_complex,SIRS,0.2,0.3,0,0.4,0.413777781,0.855012975,0.282878417,0.131319729,-0.237071876,nan,-0.19690182,-0.252599492,
large_complex,SIRS,0.2,0.3,0,0.5,0.377758131,0.855012975,0.282413157,0.095710218,-0.21057904,nan,-0.18129799,-0.227612651,
large_complex,SIRS,0.2,0.3,0,0.6,0.363785863,0.855012975,0.293703052,0.070483927,-0.237321467,nan,-0.210251786,-0.252806865,
large_complex,SIRS,0.2,0.3,0,0.7,0.339481296,0.855012975,0.291928894,0.047943832,-0.232411893,nan,-0.209813511,-0.246323964,
large_complex,SIRS,0.2,0.3,0,0.8,0.322098846,0.855012975,0.293038133,0.029470627,-0.23187933,nan,-0.213830276,-0.230880971,
large_complex,SIRS,0.2,0.3,0,0.9,0.31377642,0.855012975,0.300154913,0.014114331,-0.243222605,nan,-0.227850625,-0.217124235,
large_complex,SIRS,0.2,0.3,0,1,0.291183291,0.855012975,0.291150286,0.002042889,-0.21050291,nan,-0.199051652,nan,
large_complex,SIRS,0.2,0.4,0,0.1,0.050995838,0.855012975,0.010818029,0.040695399,0.170210848,nan,0.470321166,0.14838719,
large_complex,SIRS,0.2,0.4,0,0.2,0.113723293,0.855012975,0.03843643,0.075616993,-0.019350634,nan,0.090690136,-0.040855349,
large_complex,SIRS,0.2,0.4,0,0.3,0.023258551,0.855012975,0.010159438,0.013441787,0.288445616,nan,0.460332165,0.22591101,
large_complex,SIRS,0.2,0.4,0,0.4,0.042893414,0.855012975,0.022706374,0.020493583,0.097455242,nan,0.206716411,0.034039992,
large_complex,SIRS,0.2,0.4,0,0.5,0.041509012,0.855012975,0.025616248,0.016199048,0.098591243,nan,0.180058736,0.026515169,
large_complex,SIRS,0.2,0.4,0,0.6,0.024759864,0.855012975,0.017596879,0.007469246,0.200286228,nan,0.278640358,0.113369445,
large_complex,SIRS,0.2,0.4,0,0.7,0.013702156,0.855012975,0.010433309,0.003679156,0.376393865,nan,0.461117889,0.210124404,
large_complex,SIRS,0.2,0.4,0,0.8,0.017151765,0.855012975,0.014488772,0.003226712,0.26965872,nan,0.325895633,0.137745278,
large_complex,SIRS,0.2,0.4,0,0.9,0.019752185,0.855012975,0.018126445,0.002550475,0.21502256,nan,0.256016532,0.040669673,
large_complex,SIRS,0.2,0.4,0,1,0.016703588,0.855012975,0.016331924,0.001959577,0.289233503,nan,0.319745306,nan,
large_complex,SIRS,0.2,0.5,0,0.1,0.005023084,0.855012975,0.00190364,0.003959761,0.975837395,nan,0.945808845,0.975190693,
large_complex,SIRS,0.2,0.5,0,0.2,0.00443064,0.855012975,0.001821931,0.003153159,0.946372219,nan,0.950613306,0.93498259,
large_complex,SIRS,0.2,0.5,0,0.3,0.003965098,0.855012975,0.00189,0.002319174,0.941620881,nan,0.944596992,0.955999365,
large_complex,SIRS,0.2,0.5,0,0.4,0.003947243,0.855012975,0.001707576,0.002375248,0.918474704,nan,0.956423299,0.915470464,
large_complex,SIRS,0.2,0.5,0,0.5,0.003903766,0.855012975,0.002093727,0.002033314,0.904067183,nan,0.932089186,0.866927521,
large_complex,SIRS,0.2,0.5,0,0.6,0.004202621,0.855012975,0.002056051,0.002191472,0.865732427,nan,0.932276182,0.844931638,
large_complex,SIRS,0.2,0.5,0,0.7,0.003895342,0.855012975,0.001945568,0.001970664,0.879214271,nan,0.939674181,0.86429915,
large_complex,SIRS,0.2,0.5,0,0.8,0.004119555,0.855012975,0.002231962,0.001895837,0.847516695,nan,0.917646167,0.850291563,
large_complex,SIRS,0.2,0.5,0,0.9,0.004046463,0.855012975,0.002086191,0.001963346,0.845950893,nan,0.931083879,0.808476752,
large_complex,SIRS,0.2,0.5,0,1,0.003998526,0.855012975,0.002066526,0.001947275,0.839974097,nan,0.932182458,nan,
large_complex,SIRS,0.2,0.6,0,0.1,0.00413621,0.855012975,0.001719731,0.003395665,0.981683838,nan,0.945079621,0.974282881,
large_complex,SIRS,0.2,0.6,0,0.2,0.003454047,0.855012975,0.001986991,0.002401376,0.969525949,nan,0.924028626,0.951155916,
large_complex,SIRS,0.2,0.6,0,0.3,0.003709582,0.855012975,0.001707029,0.002499245,0.930947216,nan,0.945112923,0.90400936,
